"Seadu-sereanr";"NA";"Liik";"Konto";"Objektikood";"COFOG";"NA";"2016.ariigieelarveseadus";"NA";"NA";"NA"
"13";NA;"20";"4";"SE000024";1;"Toetusfond(sündidejasurmaderegistreerimisekuludehüvitamine,toetussaarelistelejasaareliseosagavaldadeleningüleriigilisetähtsusegamaardlatekaevandamisõigusetasujasellegaseotudvee-erikasutusetasujaotuspõhimõtetemuutmisekompensatsioon)";"-743 575";NA;NA;NA
"14";NA;"20";"4";"SE000024";4;"Toetusfond (avalikult kasutatavate kohalike teede hoid)";"-29 712 500";NA;NA;NA
"15";NA;"20";"4";"SE000024";9;"Toetusfond (hariduskuludeks)";"-237 370 537";NA;NA;NA
"16";NA;"20";"4";"SE000024";10;"Toetusfond (sotsiaaltoetuste ning -teenuste osutamise toetus)";"-3 156 169";NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1";NA;"Jagu 1. RIIGIKANTSELEI haldusala";NA;NA;NA;NA;NA;NA;NA;NA
"2";NA;"TULUD KOKKU";NA;NA;NA;NA;"1 753 772";NA;NA;NA
"3";NA;NA;"3";NA;NA;"Tegevustulud";"1 753 772";NA;NA;NA
"4";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"652";NA;NA;NA
"5";NA;NA;"323";NA;NA;"Muu kaupade ja teenuste müük";"652";NA;NA;NA
"6";NA;NA;"35";NA;NA;"Saadud toetused";"1 753 120";NA;NA;NA
"7";NA;NA;"358";NA;NA;"Saadud kodumaised toetused";"73 210";NA;NA;NA
"8";NA;NA;"359";NA;NA;"Saadud välistoetused (2014+ perioodi struktuuritoetused)";"1 679 910";NA;NA;NA
"9";NA;"Konsolideerimisgrupi tulud";NA;NA;NA;NA;"1 753 120";NA;NA;NA
"10";NA;NA;NA;NA;NA;"KULUD JA INVESTEERINGUD KOKKU";"-17 160 852";NA;NA;NA
"11";NA;NA;NA;NA;1;"Üldised valitsussektori teenused";"-17 160 852";NA;NA;NA
"12";NA;"KULUD KOKKU";NA;NA;NA;NA;"-16 659 126";NA;NA;NA
"13";NA;NA;NA;NA;NA;NA;"-16 659 126";"Tegevuskulud";NA;NA
"14";NA;NA;"4";NA;NA;NA;"-4 235 000";"Antud toetused ja muud ülekanded";NA;NA
"15";NA;NA;"5";NA;NA;NA;"-9 389 700";"Tööjõu- ja majandamiskulud";NA;NA
"16";NA;NA;"0";NA;NA;NA;"-3 034 426";"Määratlemata majandusliku sisuga tegevuskulud";NA;NA
"17";NA;"INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-501 726";NA;NA;NA
"18";NA;"FINANTSEERIMISTEHINGUD KOKKU";NA;NA;NA;NA;"-88 840";NA;NA;NA
"19";NA;"Välistoetuste riiklik kaasfinantseering";NA;NA;NA;NA;"-73 210";NA;NA;NA
"20";"PiirmääradjaarvestuslikudvahendidTULUD";NA;NA;NA;NA;NA;"652";NA;NA;NA
"21";NA;NA;"3";NA;NA;NA;"652";"Tegevustulud";NA;NA
"22";NA;NA;"32";NA;NA;NA;"652";"Kaupade ja teenuste müük";NA;NA
"23";NA;"10";"323";NA;NA;NA;"652";"Muu kaupade ja teenuste müük";NA;NA
"24";NA;"KULUD JA INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-15 407 732";NA;NA;NA
"25";NA;NA;NA;NA;NA;NA;"-14 962 006";"Tegevuskulud";NA;NA
"26";NA;"20";NA;"TK010001";1;NA;"-616 440";"EV 100 tegevuskulud";NA;NA
"27";NA;"20";NA;"TK010002";1;NA;"-2 200 674";"EL Eesistumise tegevuskulud";NA;NA
"28";NA;"20";NA;"TK010003";1;NA;"-217 312";"Riigikantselei tegevuskulud";NA;NA
"29";NA;NA;"4";NA;0;NA;"-4 235 000";"Antud toetused ja muud ülekanded";NA;NA
"30";NA;"20";"45";"SE010002";1;NA;"-4 128 000";"EV 100 sihtotstarbelised toetused";NA;NA
"31";NA;"20";"45";"SE010001";1;NA;"-77 000";"Euroopa Liidu Infokeskus";NA;NA
"32";NA;"20";"45";"SE000099";1;NA;"-5 000";"Täiendav eraldis";NA;NA
"33";NA;"20";"45";"SE000003";1;NA;"-25 000";"Liikmemaksud";NA;NA
"34";NA;NA;"5";NA;NA;NA;"-7 692 580";"Tööjõu- ja majandamiskulud";NA;NA
"35";NA;"10";"5";"SE000001";1;NA;"-48 145";"Õppelaenude tagasimaksmisega seotud kulud";NA;NA
"36";NA;"20";"5";NA;1;NA;"-6 870 523";"70004809. Riigikantselei";NA;NA
"37";NA;"20";"5";"SE000028";1;NA;"-773 912";"Vahendid Riigi Kinnisvara ASile";NA;NA
"38";NA;"INVESTEERINGUD";NA;NA;NA;NA;"-445 726";NA;NA;NA
"39";NA;"30";NA;"IN010000";1;NA;"-445 726";"Investeeringud";NA;NA
"40";"TuludjatuludestsõltuvadkuludTULUD";NA;NA;NA;NA;NA;"1 753 120";NA;NA;NA
"41";NA;NA;"3";NA;NA;NA;"1 753 120";"Tegevustulud";NA;NA
"42";NA;NA;"35";NA;NA;NA;"1 753 120";"Saadud toetused";NA;NA
"43";NA;"40";"358";"TP014001";NA;NA;"73 210";"Saadud kodumaised toetused";NA;NA
"44";NA;"40";"359";"TP014001";NA;NA;"1 679 910";"Saadud välistoetused (2014+ perioodi struktuuritoetused)";NA;NA
"45";NA;"KULUD JA INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-1 753 120";NA;NA;NA
"46";NA;NA;NA;NA;NA;NA;"-1 697 120";"Tegevuskulud";NA;NA
"47";NA;NA;"5";NA;NA;NA;"-1 697 120";"Tööjõu- ja majandamiskulud";NA;NA
"48";NA;"40";"5";NA;1;NA;"-1 623 910";"70004809. Riigikantselei";NA;NA
"49";NA;"40";"5";NA;1;NA;"-73 210";"Välistoetuste riiklik kaasfinantseering";NA;NA
"50";NA;"INVESTEERINGUD";NA;NA;NA;NA;"-56 000";NA;NA;NA
"51";NA;"40";NA;"IN010000";1;NA;"-56 000";"Investeeringud";NA;NA
"52";"Fin.tehingudFINANTSEERIMISTEHINGUD";NA;NA;NA;NA;NA;"-88 840";NA;NA;NA
"53";NA;"20";"206";NA;NA;NA;"-88 840";"Vahendid Riigi Kinnisvara ASile";NA;NA
"HARIDUS- JA TEADUSMINISTEERIUMI valitsemisala";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"TULUD KOKKU";NA;NA;NA;NA;NA;NA;NA;NA;"130 879 247";NA
"TEGEVUSKULUD JA INVESTEERINGUD KOKKU";NA;NA;NA;NA;NA;NA;NA;NA;"-543 163 338";NA
"TEGEVUSKULUD KOKKU";NA;NA;NA;NA;NA;NA;NA;NA;"-539 647 100";NA
"INVESTEERINGUD KOKKU";NA;NA;NA;NA;NA;NA;NA;NA;"-3 516 238";NA
"FINANTSEERIMISTEHINGUD KOKKU";NA;NA;NA;NA;NA;NA;NA;NA;"661 813";NA
"Tulemusvaldkond: HARIDUS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;"Tulud";NA;NA;"65 983 280";NA
NA;NA;NA;NA;NA;NA;"Tegevuskulud ja investeeringud kokku";NA;NA;"-400 383 139";NA
NA;NA;NA;NA;NA;NA;"Tegevuskulud kokku";NA;NA;"-396 901 901";NA
NA;NA;NA;NA;NA;NA;"Investeeringud kokku";NA;NA;"-3 481 238";NA
"10";NA;NA;NA;NA;NA;"Arvestuslikud kulud";NA;NA;"-4 877 791";NA
"20";NA;NA;NA;NA;NA;"Kindlaksmääratud kulud";NA;NA;"-326 536 849";NA
"20";NA;NA;NA;NA;NA;"Täiendav eraldis";NA;NA;"-788 000";NA
"40";NA;NA;NA;NA;NA;"Tuludest sõltuvad kulud";NA;NA;"-61 690 281";NA
NA;NA;"56";"Hasartmängumaks - teadus-, haridus-, laste- ja noorteprojektid";NA;NA;NA;"-3 008 980";NA;NA;NA
NA;NA;"30";"Täiendav eraldis";NA;NA;NA;"-50 000";NA;NA;NA
NA;NA;"30";"Investeeringud";NA;NA;NA;"-2 457 238";NA;NA;NA
NA;NA;"40";"Investeeringud";NA;NA;NA;"-974 000";NA;NA;NA
NA;NA;"10";"Finantseerimistehingud";NA;NA;NA;"1 400 000";NA;NA;NA
NA;NA;"20";"Finantseerimistehingud";NA;NA;NA;"-738 187";NA;NA;NA
NA;NA;"1. Programm: Pädevad ja motiveeritud õpetajad ning haridusasutuste juhid";NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;"Tulud";NA;NA;NA;"3 298 236";NA;NA;NA
NA;NA;NA;"Tegevuskulud kokku";NA;NA;NA;"-62 330 094";NA;NA;NA
NA;NA;"10";"Arvestuslikud kulud";NA;NA;NA;"-960 232";NA;NA;NA
NA;NA;"20";"Kindlaksmääratud kulud";NA;NA;NA;"-58 071 626";NA;NA;NA
NA;NA;"40";"Tuludest sõltuvad kulud";NA;NA;NA;"-3 298 236";NA;NA;NA
NA;NA;"2. Digipöörde programm";NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;"Tulud";NA;NA;NA;"6 488 236";NA;NA;NA
NA;NA;NA;"Kulud ja investeeringud kokku";NA;NA;NA;"-9 582 160";NA;NA;NA
NA;NA;NA;"Tegevuskulud kokku";NA;NA;NA;"-8 839 922";NA;NA;NA
NA;NA;"10";"Arvestuslikud kulud";NA;NA;NA;"-163";NA;NA;NA
NA;NA;"20";"Kindlaksmääratud kulud";NA;NA;NA;"-2 351 523";NA;NA;NA
NA;NA;"40";"Tuludest sõltuvad kulud";NA;NA;NA;"-6 488 236";NA;NA;NA
NA;NA;"30";"Investeeringud";NA;NA;NA;"-742 238";NA;NA;NA
NA;NA;"3. Tööturu ja õppe tihedama seostamise programm";NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;"Tulud";NA;NA;NA;"8 863 008";NA;NA;NA
NA;NA;NA;"Tegevuskulud kokku";NA;NA;NA;"-9 446 068";NA;NA;NA
NA;NA;"10";"Arvestuslikud kulud";NA;NA;NA;"-142";NA;NA;NA
NA;NA;"20";"Kindlaksmääratud kulud";NA;NA;NA;"-582 918";NA;NA;NA
NA;NA;"40";"Tuludest sõltuvad kulud";NA;NA;NA;"-8 863 008";NA;NA;NA
NA;NA;"4. Koolivõrgu programm";NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;"Tulud";NA;NA;NA;"12 389 215";NA;NA;NA
NA;NA;NA;"Tegevuskulud ja investeeringud kokku";NA;NA;NA;"-15 473 042";NA;NA;NA
NA;NA;NA;"Tegevuskulud kokku";NA;NA;NA;"-15 463 042";NA;NA;NA
NA;NA;"10";"Arvestuslikud kulud";NA;NA;NA;"-360";NA;NA;NA
NA;NA;"20";"Kindlaksmääratud kulud";NA;NA;NA;"-2 407 467";NA;NA;NA
NA;NA;"20";"Täiendav eraldis";NA;NA;NA;"-666 000";NA;NA;NA
NA;NA;"40";"Tuludest sõltuvad kulud";NA;NA;NA;"-12 389 215";NA;NA;NA
NA;NA;"30";"Täiendav eraldis";NA;NA;NA;"-10 000";NA;NA;NA
NA;NA;"5. Õppe- ja karjäärinõustamise programm";NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;"Tulud";NA;NA;NA;"7 097 024";NA;NA;NA
NA;NA;NA;"Tegevuskulud kokku";NA;NA;NA;"-8 592 746";NA;NA;NA
NA;NA;"10";"Arvestuslikud kulud";NA;NA;NA;"-145";NA;NA;NA
NA;NA;"20";"Kindlaksmääratud kulud";NA;NA;NA;"-1 495 577";NA;NA;NA
NA;NA;"40";"Tuludest sõltuvad kulud";NA;NA;NA;"-7 097 024";NA;NA;NA
NA;NA;"6. Üldharidusprogramm (õppekava ja õppekorraldus)";NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;"Tulud kokku";NA;NA;NA;"532 309";NA;NA;NA
NA;NA;NA;"Kulud ja investeeringud kokku";NA;NA;NA;"-38 658 432";NA;NA;NA
NA;NA;NA;"Tegevuskulud kokku";NA;NA;NA;"-38 583 432";NA;NA;NA
NA;NA;"10";"Arvestuslikud kulud";NA;NA;NA;"-21 666";NA;NA;NA
NA;NA;"20";"Kindlaksmääratud kulud";NA;NA;NA;"-38 168 220";NA;NA;NA
NA;NA;"40";"Tuludest sõltuvad kulud";NA;NA;NA;"-393 546";NA;NA;NA
NA;NA;"30";"Investeeringud";NA;NA;NA;"-75 000";NA;NA;NA
NA;NA;"20";"Finantseerimistehingud";NA;NA;NA;"-738 187";NA;NA;NA
NA;NA;"7. Kutseharidusprogramm";NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;"Tulud kokku";NA;NA;NA;"11 590 466";NA;NA;NA
NA;NA;NA;"Kulud ja investeeringud kokku";NA;NA;NA;"-53 698 451";NA;NA;NA
NA;NA;NA;"Tegevuskulud kokku";NA;NA;NA;"-52 734 451";NA;NA;NA
NA;NA;"10";"Arvestuslikud kulud";NA;NA;NA;"-17 813";NA;NA;NA
NA;NA;"20";"Kindlaksmääratud kulud";NA;NA;NA;"-41 964 484";NA;NA;NA
NA;NA;"40";"Tuludest sõltuvad kulud";NA;NA;NA;"-10 752 154";NA;NA;NA
NA;NA;"30";"Investeeringud";NA;NA;NA;"-150 000";NA;NA;NA
NA;NA;"40";"Investeeringud";NA;NA;NA;"-814 000";NA;NA;NA
NA;NA;"8. Kõrgharidusprogramm";NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;"Tulud";NA;NA;NA;"1 909 339";NA;NA;NA
NA;NA;NA;"Kulud ja investeeringud kokku";NA;NA;NA;"-183 114 366";NA;NA;NA
NA;NA;NA;"Tegevuskulud kokku";NA;NA;NA;"-181 464 366";NA;NA;NA
NA;NA;NA;"Investeeringud kokku";NA;NA;NA;"-1 650 000";NA;NA;NA
NA;NA;"10";"Arvestuslikud kulud";NA;NA;NA;"-3 876 738";NA;NA;NA
NA;NA;"20";"Kindlaksmääratud kulud";NA;NA;NA;"-175 975 233";NA;NA;NA
NA;NA;"20";"Täiendav eraldis";NA;NA;NA;"-10 000";NA;NA;NA
NA;NA;"40";"Tuludest sõltuvad kulud";NA;NA;NA;"-1 602 395";NA;NA;NA
NA;NA;"30";"Investeeringud";NA;NA;NA;"-1 490 000";NA;NA;NA
NA;NA;"40";"Investeeringud";NA;NA;NA;"-160 000";NA;NA;NA
NA;NA;"10";"Finantseerimistehingud";NA;NA;NA;"1 400 000";NA;NA;NA
NA;NA;"9. Täiskasvanuhariduse programm";NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;"Tulud";NA;NA;NA;"6 417 053";NA;NA;NA
NA;NA;NA;"Tegevuskulud kokku";NA;NA;NA;"-8 672 240";NA;NA;NA
NA;NA;"10";"Arvestuslikud kulud";NA;NA;NA;"-287";NA;NA;NA
NA;NA;"20";"Kindlaksmääratud kulud";NA;NA;NA;"-2 254 900";NA;NA;NA
NA;NA;"40";"Tuludest sõltuvad kulud";NA;NA;NA;"-6 417 053";NA;NA;NA
NA;NA;"10. Noortevaldkonna programm";NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;"Tulud";NA;NA;NA;"7 398 394";NA;NA;NA
NA;NA;NA;"Tegevuskulud ja investeeringud kokku";NA;NA;NA;"-10 815 540";NA;NA;NA
NA;NA;NA;"Tegevuskulud kokku";NA;NA;NA;"-10 775 540";NA;NA;NA
NA;NA;NA;"Investeeringud kokku";NA;NA;NA;"-40 000";NA;NA;NA
NA;NA;"10";"Arvestuslikud kulud";NA;NA;NA;"-245";NA;NA;NA
NA;NA;"20";"Kindlaksmääratud kulud";NA;NA;NA;"-3 264 901";NA;NA;NA
NA;NA;"20";"Täiendav eraldis";NA;NA;NA;"-112 000";NA;NA;NA
NA;NA;"40";"Tuludest sõltuvad kulud";NA;NA;NA;"-4 389 414";NA;NA;NA
NA;NA;"56";"Hasartmängumaks - teadus-, haridus-, laste- ja noorteprojektid";NA;NA;NA;"-3 008 980";NA;NA;NA
NA;NA;"30";"Täiendav eraldis";NA;NA;NA;"-40 000";NA;NA;NA
NA;NA;"Tulemusvaldkond: TEADUS";NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;"Tulud";NA;NA;NA;"64 182 356";NA;NA;NA
NA;NA;NA;"Tegevuskulud ja investeeringud kokku";NA;NA;NA;"-131 858 666";NA;NA;NA
NA;NA;NA;"Tegevuskulud kokku";NA;NA;NA;"-131 823 666";NA;NA;NA
NA;NA;NA;"Investeeringud kokku";NA;NA;NA;"-35 000";NA;NA;NA
NA;NA;"10";"Arvestuslikud kulud";NA;NA;NA;"-13 350";NA;NA;NA
NA;NA;"20";"Kindlaksmääratud kulud";NA;NA;NA;"-67 628 945";NA;NA;NA
NA;NA;"40";"Tuludest sõltuvad kulud";NA;NA;NA;"-64 181 371";NA;NA;NA
NA;NA;"30";"Täiendav eraldis";NA;NA;NA;"-35 000";NA;NA;NA
NA;NA;"11. Teadus- ja arendustegevuse ning innovatsiooni programm";NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;"Tulud";NA;NA;NA;"64 182 356";NA;NA;NA
NA;NA;NA;"Tegevuskulud ja investeeringud kokku";NA;NA;NA;"-131 858 666";NA;NA;NA
NA;NA;NA;"Tegevuskulud kokku";NA;NA;NA;"-131 823 666";NA;NA;NA
NA;NA;NA;"Investeeringud kokku";NA;NA;NA;"-35 000";NA;NA;NA
NA;NA;"10";"Arvestuslikud kulud";NA;NA;NA;"-13 350";NA;NA;NA
NA;NA;"20";"Kindlaksmääratud kulud";NA;NA;NA;"-67 628 945";NA;NA;NA
NA;NA;"40";"Tuludest sõltuvad kulud";NA;NA;NA;"-64 181 371";NA;NA;NA
NA;NA;"30";"Täiendav eraldis";NA;NA;NA;"-35 000";NA;NA;NA
NA;NA;"Tulemusvaldkond: EESTI KEEL JA EESTLUS";NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;"Tulud";NA;NA;NA;"251 236";NA;NA;NA
NA;NA;NA;"Tegevuskulud kokku";NA;NA;NA;"-4 516 899";NA;NA;NA
NA;NA;"10";"Arvestuslikud kulud";NA;NA;NA;"-225";NA;NA;NA
NA;NA;"20";"Kindlaksmääratud kulud";NA;NA;NA;"-4 247 438";NA;NA;NA
NA;NA;"20";"Täiendav eraldis";NA;NA;NA;"-31 000";NA;NA;NA
NA;NA;"40";"Tuludest sõltuvad kulud";NA;NA;NA;"-238 236";NA;NA;NA
NA;NA;"12. Keeleprogramm";NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;"Tulud";NA;NA;NA;"251 236";NA;NA;NA
NA;NA;NA;"Tegevuskulud kokku";NA;NA;NA;"-4 516 899";NA;NA;NA
NA;NA;"10";"Arvestuslikud kulud";NA;NA;NA;"-225";NA;NA;NA
NA;NA;"20";"Kindlaksmääratud kulud";NA;NA;NA;"-4 247 438";NA;NA;NA
NA;NA;"20";"Täiendav eraldis";NA;NA;NA;"-31 000";NA;NA;NA
NA;NA;"40";"Tuludest sõltuvad kulud";NA;NA;NA;"-238 236";NA;NA;NA
NA;NA;"Tulemusvaldkond: RIIGIVALITSEMINE";NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;"Tulud";NA;NA;NA;"462 375";NA;NA;NA
NA;NA;NA;"Tegevuskulud kokku";NA;NA;NA;"-6 404 634";NA;NA;NA
NA;NA;"10";"Arvestuslikud kulud";NA;NA;NA;"-1 607";NA;NA;NA
NA;NA;"20";"Kindlaksmääratud kulud";NA;NA;NA;"-5 972 152";NA;NA;NA
NA;NA;"40";"Tuludest sõltuvad kulud";NA;NA;NA;"-430 875";NA;NA;NA
NA;NA;"13. Arhiivinduse programm";NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;"Tulud";NA;NA;NA;"462 375";NA;NA;NA
NA;NA;NA;"Tegevuskulud kokku";NA;NA;NA;"-6 404 634";NA;NA;NA
NA;NA;"10";"Arvestuslikud kulud";NA;NA;NA;"-1 607";NA;NA;NA
NA;NA;"20";"Kindlaksmääratud kulud";NA;NA;NA;"-5 972 152";NA;NA;NA
NA;NA;"40";"Tuludest sõltuvad kulud";NA;NA;NA;"-430 875";NA;NA;NA
"1";NA;"Jagu 3. JUSTIITSMINISTEERIUMI valitsemisala";NA;NA;NA;NA;NA;NA;NA;NA
"2";NA;"TULUD KOKKU";NA;NA;NA;NA;"13 049 144";NA;NA;NA
"3";NA;NA;"3";NA;NA;"Tegevustulud";"13 042 753";NA;NA;NA
"4";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"7 809 164";NA;NA;NA
"5";NA;NA;"320";NA;NA;"Riigilõivud";"3 306 980";NA;NA;NA
"6";NA;NA;"322";NA;NA;"Tulu majandustegevusest";"4 500 436";NA;NA;NA
"7";NA;NA;"323";NA;NA;"Muu kaupade ja teenuste müük";"1 748";NA;NA;NA
"8";NA;NA;"35";NA;NA;"Saadud toetused";"2 729 786";NA;NA;NA
"9";NA;NA;"358";NA;NA;"Saadud kodumaised toetused";"298 951";NA;NA;NA
"10";NA;NA;"359";NA;NA;"Saadud välistoetused";"2 430 835";NA;NA;NA
"11";NA;NA;"38";NA;NA;"Muud tulud";"2 503 803";NA;NA;NA
"12";NA;NA;"381";NA;NA;"Tulud varude ja põhivara müügist";"300";NA;NA;NA
"13";NA;NA;"383";NA;NA;"Trahvid ja muud varalised karistused";"44 291";NA;NA;NA
"14";NA;NA;"388";NA;NA;"Muud eespool nimetamata tulud";"2 459 212";NA;NA;NA
"15";NA;NA;"70";NA;NA;"Saadud siirded riigiasutustelt";"6 391";NA;NA;NA
"16";NA;NA;NA;NA;NA;"KULUD JA INVESTEERINGUD KOKKU";"-136 971 075";NA;NA;NA
"17";NA;NA;NA;NA;1;"Üldised valitsussektori teenused";"-4 230 063";NA;NA;NA
"18";NA;NA;NA;NA;3;"Avalik kord ja julgeolek";"-123 651 079";NA;NA;NA
"19";NA;NA;NA;NA;4;"Majandus";"-6 552 845";NA;NA;NA
"20";NA;NA;NA;NA;10;"Sotsiaalne kaitse";"-2 537 088";NA;NA;NA
"21";NA;"KULUD KOKKU";NA;NA;NA;NA;"-136 280 587";NA;NA;NA
"22";NA;NA;NA;NA;NA;"Tegevuskulud";"-129 439 472";NA;NA;NA
"23";NA;NA;NA;NA;NA;"Antud toetused ja muud ülekanded";"-7 151 471";NA;NA;NA
"24";NA;NA;NA;NA;NA;"Tööjõu- ja majandamiskulud";"-121 588 001";NA;NA;NA
"25";NA;NA;"60";NA;NA;"Muud tegevuskulud";"-700 000";NA;NA;NA
"26";NA;NA;"650";NA;NA;"Finantskulud";"-4 230 063";NA;NA;NA
"27";NA;NA;"71";NA;NA;"Antud siirded riigiasutustele";"-2 611 052";NA;NA;NA
"28";NA;"Konsolideerimisgrupi kulud";NA;NA;NA;NA;"-2 611 052";NA;NA;NA
"29";NA;"INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-690 488";NA;NA;NA
"30";NA;"FINANTSEERIMISTEHINGUD KOKKU";NA;NA;NA;NA;"-1 735 356";NA;NA;NA
"31";NA;"Välistoetuste riiklik kaasfinantseering";NA;NA;NA;NA;"-298 951";NA;NA;NA
"32";"PiirmääradjaarvestuslikudvahendidTULUD";NA;NA;NA;NA;NA;"2 912 531";NA;NA;NA
"33";NA;NA;"3";NA;NA;"Tegevustulud";"2 912 531";NA;NA;NA
"34";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"2 608 728";NA;NA;NA
"35";NA;"10";"320";NA;NA;"Riigilõivud";"226 980";NA;NA;NA
"36";NA;"10";"320";NA;NA;"Patendiameti toimingute riigilõiv";"2 380 000";NA;NA;NA
"37";NA;"10";"323";NA;NA;"Muu kaupade ja teenuste müük";"1 748";NA;NA;NA
"38";NA;NA;"38";NA;NA;"Muud tulud";"303 803";NA;NA;NA
"39";NA;"10";"381";NA;NA;"Tulud varude ja põhivara müügist";"300";NA;NA;NA
"40";NA;"10";"383";NA;NA;"Trahvid ja muud varalised karistused";"44 291";NA;NA;NA
"41";NA;"10";"388";NA;NA;"Muud eespool nimetamata tulud";"259 212";NA;NA;NA
"42";NA;"KULUD JA INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-126 834 462";NA;NA;NA
"43";NA;"KULUD";NA;NA;NA;NA;"-126 537 974";NA;NA;NA
"44";NA;NA;NA;NA;NA;"Tegevuskulud";"-119 696 859";NA;NA;NA
"45";NA;NA;"4";NA;NA;"Antud toetused ja muud ülekanded";"-4 939 071";NA;NA;NA
"46";NA;"20";"41";NA;10;"Sotsiaaltoetused";"-4 598";NA;NA;NA
"47";NA;"20";"41";"SE030001";10;"Sotsiaaltoetused vanglast vabanenutele";"-22 369";NA;NA;NA
"48";NA;"20";"45";NA;3;"Antud sihtotstarbelised toetused";"-726 782";NA;NA;NA
"49";NA;"20";"45";"SE000099";3;"Täiendav eraldis";"-50 000";NA;NA;NA
"50";NA;"20";"45";"SE030002";3;"Riigipoolttasutavõigusabijaadvokatuuripooltavalik-õiguslikeülesannetetäitmine";"-3 898 390";NA;NA;NA
"51";NA;"20";"45";"SE000003";3;"Liikmemaksud";"-214 932";NA;NA;NA
"52";NA;"30";"45";"IN000099";3;"Täiendav eraldis";"-22 000";NA;NA;NA
"53";NA;NA;"5";NA;NA;"Tööjõu- ja majandamiskulud";"-114 757 788";NA;NA;NA
"54";NA;"10";"5";"SE000001";3;"Õppelaenude tagasimaksmisega seotud kulud";"-64 833";NA;NA;NA
"55";NA;"10";"5";"SE000031";3;"Ettemaks kohtutäituritele";"-24 000";NA;NA;NA
"56";NA;"20";"5";NA;3;"70000898. Justiitsministeerium";"-7 178 921";NA;NA;NA
"57";NA;"20";"5";NA;3;"70000906. Prokuratuur";"-9 657 288";NA;NA;NA
"58";NA;"20";"5";NA;3;"70003572. Eesti Kohtuekspertiisi Instituut";"-4 772 217";NA;NA;NA
"59";NA;"20";"5";NA;3;"70000310. Registrite ja Infosüsteemide Keskus";"-5 358 638";NA;NA;NA
"60";NA;"20";"5";NA;3;"70004235. Andmekaitse inspektsioon";"-699 821";NA;NA;NA
"61";NA;"20";"5";NA;4;"70000303. Konkurentsiamet";"-1 691 454";NA;NA;NA
"62";NA;"20";"5";NA;3;"Esimese ja teise astme kohtud";"-31 113 670";NA;NA;NA
"63";NA;"20";"5";NA;3;"Kinnipidamiskohad";"-35 424 513";NA;NA;NA
"64";NA;"20";"5";NA;4;"70003164. Patendiamet";"-1 216 804";NA;NA;NA
"65";NA;"20";"5";"SE000028";3;"Vahendid Riigi Kinnisvara ASile";"-17 138 878";NA;NA;NA
"66";NA;"20";"5";"SE000028";4;"Vahendid Riigi Kinnisvara ASile";"-345 737";NA;NA;NA
"67";NA;"20";"5";"SE000033";3;"Vahendid EL Nõukogu eesistumiseks";"-71 014";NA;NA;NA
"68";NA;NA;"650";NA;NA;"Finantskulud";"-4 230 063";NA;NA;NA
"69";NA;"20";"650";NA;1;"Finantskulud";"-1 275";NA;NA;NA
"70";NA;"20";"650";"SE000028";1;"Vahendid Riigi Kinnisvara ASile";"-4 228 788";NA;NA;NA
"71";NA;NA;"71";NA;NA;"Antud siirded riigiasutustele";"-2 611 052";NA;NA;NA
"72";NA;"10";"71";"TP016001";10;"ProkurörideeripensionidjaIjaIIastmekohtunikepensionid-
Sotsiaalkindlustusametile";"-2 510 121";NA;NA;NA
"73";NA;"20";"71";"TP015008";3;"Stipendium ja konkursitoetus - Sisekaitseakadeemiale";"-100 931";NA;NA;NA
"74";NA;"INVESTEERINGUD";NA;NA;NA;NA;"-296 488";NA;NA;NA
"75";NA;"30";NA;"IN030000";3;"Investeeringud";"-296 488";NA;NA;NA
"76";"TuludjatuludestsõltuvadkuludTULUD";NA;NA;NA;NA;NA;"9 436 613";NA;NA;NA
"77";NA;NA;"3";NA;NA;"Tegevustulud";"9 430 222";NA;NA;NA
