"Seadu-sereanr";"NA";"Liik";"Konto";"Objektikood";"COFOG";"NA";"2016.ariigieelarveseadus";"NA";"NA";"NA"
"66";NA;NA;NA;NA;NA;"Siseministeerium";"-6 280 662";NA;NA;NA
"67";NA;NA;NA;NA;9;"Haridus";"-784 849 778";NA;NA;NA
"68";NA;NA;NA;NA;NA;"Vabariigi Valitsus";"-237 370 537";NA;NA;NA
"69";NA;NA;NA;NA;NA;"Haridus- ja Teadusministeerium";"-526 919 802";NA;NA;NA
"70";NA;NA;NA;NA;NA;"Kaitseministeerium";"-10 034 857";NA;NA;NA
"71";NA;NA;NA;NA;NA;"Rahandusministeerium";"-6 400";NA;NA;NA
"72";NA;NA;NA;NA;NA;"Siseministeerium";"-10 516 282";NA;NA;NA
"73";NA;NA;NA;NA;NA;"Välisministeerium";"-1 900";NA;NA;NA
"74";NA;NA;NA;NA;10;"Sotsiaalne kaitse";"-3 070 759 834";NA;NA;NA
"75";NA;NA;NA;NA;NA;"Riigikogu";"-5 069 594";NA;NA;NA
"76";NA;NA;NA;NA;NA;"Vabariigi President";"-83 392";NA;NA;NA
"77";NA;NA;NA;NA;NA;"Vabariigi Valitsus";"-30 223 000";NA;NA;NA
"78";NA;NA;NA;NA;NA;"Justiitsministeerium";"-26 967";NA;NA;NA
"79";NA;NA;NA;NA;NA;"Kaitseministeerium";"-8 063 007";NA;NA;NA
"80";NA;NA;NA;NA;NA;"Maaeluministeerium";"-26 209";NA;NA;NA
"81";NA;NA;NA;NA;NA;"Rahandusministeerium";"-622 289 196";NA;NA;NA
"82";NA;NA;NA;NA;NA;"Siseministeerium";"-3 616 563";NA;NA;NA
"83";NA;NA;NA;NA;NA;"Sotsiaalministeerium";"-2 401 361 906";NA;NA;NA
"84";NA;"KULUD KOKKU";NA;NA;NA;NA;"-8 641 684 483";NA;NA;NA
"85";NA;NA;NA;NA;NA;"Tegevuskulud";"-8 629 244 693";NA;NA;NA
"86";NA;NA;NA;NA;NA;"Antud toetused ja muud ülekanded";"-4 423 658 495";NA;NA;NA
"87";NA;NA;NA;NA;NA;"Tööjõu- ja majandamiskulud";"-1 445 685 570";NA;NA;NA
"88";NA;NA;NA;NA;NA;"Muud tegevuskulud";"-2 694 249 459";NA;NA;NA
"89";NA;NA;NA;NA;NA;"Määratlemata majandusliku sisuga tegevuskulud";"-65 651 169";NA;NA;NA
"90";NA;NA;NA;NA;NA;"Finantskulud";"-12 439 790";NA;NA;NA
